CodingHours,CoffeeCupsPerDay,CoffeeTime,CodingWithCoffee,CoffeeType,CoffeeSolveBugs,Gender,Country,AgeRange
12,12,Before coding,Sometimes,Espresso (Short Black),Sometimes,Male,Egypt,18 to 29
12,12,While coding,Sometimes,Espresso (Short Black),Sometimes,Male,Egypt,18 to 29
5,5,Before coding,Sometimes,Turkish,Sometimes,Male,Egypt,18 to 29
5,5,While coding,Sometimes,Turkish,Sometimes,Male,Egypt,18 to 29
2,2,Before coding,No,Nescafe,No,Male,Egypt,18 to 29
5,5,All the time,No,Cappuccino,No,Male,Egypt,18 to 29
5,5,All the time,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
4,4,All the time,Sometimes,Nescafe,Sometimes,Male,Egypt,18 to 29
4,4,Before coding,No,American Coffee,No,Male,Egypt,18 to 29
2,2,All the time,Yes,Turkish,Yes,Female,Egypt,18 to 29
10,10,All the time,Sometimes,Espresso (Short Black),Sometimes,Female,Egypt,18 to 29
6,6,All the time,Yes,Nescafe,Sometimes,Male,Egypt,18 to 29
0,0,All the time,No,Caffè latte,Sometimes,Male,Egypt,18 to 29
4,4,Before coding,Sometimes,Nescafe,Sometimes,Male,Egypt,18 to 29
5,5,Before coding,Sometimes,Double Espresso (Doppio),Sometimes,Male,Egypt,18 to 29
6,6,Before coding,Sometimes,Double Espresso (Doppio),Sometimes,Male,Egypt,18 to 29
3,3,All the time,Sometimes,Nescafe,Yes,Male,Egypt,18 to 29
8,8,Before coding,No,Cappuccino,Yes,Male,Egypt,18 to 29
8,8,While coding,No,Cappuccino,Yes,Male,Egypt,18 to 29
1,1,While coding,No,Cappuccino,Sometimes,Male,Egypt,18 to 29
4,4,Before coding,Sometimes,Turkish,Sometimes,Female,Egypt,18 to 29
4,4,All the time,Yes,Cappuccino,Sometimes,Female,Egypt,18 to 29
4,4,All the time,No,Caffè latte,No,Female,Egypt,18 to 29
6,6,While coding,Yes,Turkish,Yes,Male,Egypt,18 to 29
4,4,Before coding,Sometimes,Turkish,Sometimes,Male,Egypt,18 to 29
6,6,While coding,Yes,Caffè latte,No,Female,Egypt,18 to 29
0,0,All the time,Yes,Nescafe,No,Female,Egypt,18 to 29
4,4,While coding,Yes,Turkish,Yes,Male,Egypt,18 to 29
6,6,Before coding,Yes,Turkish,Yes,Male,Egypt,18 to 29
5,5,Before coding,Sometimes,Nescafe,No,Male,Egypt,18 to 29
5,5,While coding,Sometimes,Nescafe,No,Male,Egypt,18 to 29
10,10,All the time,No,Caffè latte,No,Male,Egypt,18 to 29
9,9,Before coding,Yes,Turkish,Sometimes,Female,Egypt,18 to 29
10,10,While coding,No,Turkish,No,Female,Egypt,18 to 29
5,5,All the time,Yes,Cappuccino,No,Female,Egypt,18 to 29
4,4,All the time,No,Caffè latte,No,Female,Egypt,18 to 29
10,10,While coding,No,Turkish,Sometimes,Male,Egypt,18 to 29
12,12,All the time,Yes,Nescafe,Sometimes,Female,Egypt,18 to 29
8,8,While coding,Sometimes,Caffè latte,Sometimes,Male,Egypt,18 to 29
10,10,All the time,Sometimes,American Coffee,Sometimes,Female,Egypt,18 to 29
4,4,Before coding,Sometimes,Cappuccino,Sometimes,Female,Egypt,18 to 29
4,4,While coding,Sometimes,Cappuccino,Sometimes,Female,Egypt,18 to 29
2,2,All the time,Sometimes,Turkish,Yes,Female,Egypt,18 to 29
8,8,Before coding,Sometimes,Turkish,Yes,Male,Egypt,18 to 29
8,8,While coding,Sometimes,Turkish,Yes,Male,Egypt,18 to 29
15,15,Before coding,Yes,Turkish,Yes,Male,Egypt,18 to 29
5,5,Before coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
5,5,While coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
4,4,All the time,Yes,Nescafe,No,Male,Egypt,18 to 29
5,5,All the time,No,Nescafe,Sometimes,Male,Egypt,18 to 29
3,3,While coding,Sometimes,Nescafe,Sometimes,Female,Egypt,18 to 29
3,3,All the time,No,Nescafe,No,Male,Egypt,18 to 29
2,2,Before coding,No,Nescafe,Sometimes,Female,Egypt,18 to 29
10,10,Before coding,Yes,Turkish,Sometimes,Male,Egypt,18 to 29
5,5,Before coding,Yes,American Coffee,Yes,Female,Egypt,18 to 29
5,5,While coding,Yes,American Coffee,Yes,Female,Egypt,18 to 29
3,3,Before coding,Sometimes,Turkish,Sometimes,Female,Egypt,18 to 29
3,3,While coding,Sometimes,Turkish,Sometimes,Female,Egypt,18 to 29
2,2,While coding,Sometimes,American Coffee,Sometimes,Female,Egypt,18 to 29
8,8,Before coding,Yes,Nescafe,Yes,Male,Egypt,18 to 29
8,8,While coding,Yes,Nescafe,Yes,Male,Egypt,18 to 29
5,5,All the time,No,Caffè latte,Sometimes,Female,Egypt,18 to 29
5,5,Before coding,Yes,Caffè latte,Sometimes,Male,Egypt,18 to 29
5,5,While coding,Yes,Caffè latte,Sometimes,Male,Egypt,18 to 29
4,4,All the time,No,Nescafe,No,Female,Egypt,18 to 29
7,7,Before coding,No,Nescafe,Yes,Female,Egypt,18 to 29
7,7,While coding,No,Nescafe,Yes,Female,Egypt,18 to 29
5,5,Before coding,Yes,American Coffee,Sometimes,Female,Egypt,18 to 29
5,5,While coding,Yes,American Coffee,Sometimes,Female,Egypt,18 to 29
8,8,Before coding,Sometimes,Turkish,Sometimes,Male,Egypt,18 to 29
8,8,While coding,Sometimes,Turkish,Sometimes,Male,Egypt,18 to 29
9,9,Before coding,No,Caffè latte,Yes,Female,Egypt,18 to 29
5,5,All the time,Yes,Turkish,Sometimes,Female,Egypt,18 to 29
6,6,Before coding,Sometimes,Turkish,Sometimes,Female,Egypt,18 to 29
6,6,While coding,Sometimes,Turkish,Sometimes,Female,Egypt,18 to 29
6,6,Before coding,Yes,Caffè latte,Yes,Female,Egypt,18 to 29
6,6,While coding,Yes,Caffè latte,Yes,Female,Egypt,18 to 29
4,4,All the time,No,Turkish,No,Male,Egypt,18 to 29
8,8,Before coding,Yes,Cappuccino,Sometimes,Female,Egypt,18 to 29
8,8,While coding,Yes,Cappuccino,Sometimes,Female,Egypt,18 to 29
8,,All the time,No,Turkish,No,Male,Egypt,18 to 29
